nombre,categoria,precio,codigo,estado,esPedido,img,desc
Pulsera Clásica,pulseras,25,[P-PL-136],disponible,FALSE,pulseras/pulsera_1.jpg,"Diseño elegante de cadena fina, ideal para uso diario."
Pulsera Cristal,pulseras,20,[P-PL-291],disponible,FALSE,pulseras/pulsera_2.jpg,Pulsera plata ley 925 cristales blancos
Pulsera Clasica N°2,pulseras,60,[P-PL-284],pedido,TRUE,pulseras/pulsera_3.jpg,Pulsera en plata tejido barbabda recta 21 cm.
Pulsera Ala Cristal,pulseras,18,[P-PL-200],pedido,TRUE,pulseras/pulsera_4.jpg,Pulsera en plata ley 925 dije ala cristal.
Pulsera rígida N°1,pulseras,60,[P-PL-205],pedido,TRUE,pulseras/pulsera_5.jpg,Pulsera rígida tres mariposas.
Pulsera rígida N°2,pulseras,55,[P-PL-206],pedido,TRUE,pulseras/pulsera_6.jpg,Pulsera rígida una mariposa.
Pulsera semi-rígida,pulseras,37,[P-PL-105],pedido,TRUE,pulseras/pulsera_7.jpg,Pulsera en plata quemada 925 guaya y hoja
Pulsera plata Búho,pulseras,35,[P-PL-176],pedido,TRUE,pulseras/pulsera_8.jpg,Pulsera plata ley 925 con cristales violetas y encantos de búho
Pulsera ajustabe,pulseras,15,[P-PL-322],pedido,TRUE,pulseras/pulsera_9.jpg,Pulsera en plata ley 925 ajustable hilo rojo tejido 7 balines
Pulsera ajustabe,pulseras,16,[P-PL-327],pedido,TRUE,pulseras/pulsera_10.jpg,Pulsera en plata ley 925 cordón ajustable negros balines
Pulsera eslabones,pulseras,60,[P-PL-104],pedido,TRUE,pulseras/pulsera_11.jpg,Pulsera en plata 925 eslabones caña bolas flor y palo azul rojo
Pulsera medalla,pulseras,55,[P-PL-163],pedido,TRUE,pulseras/pulsera_12.jpg,Pulsera en plata ley 925 bolas medalla san benito
Pulsera cordón ajustable beige,pulseras,12,[P-PL-330],pedido,TRUE,pulseras/pulsera_13.jpg,Pulsera en plata ley 925 cordón ajustable beige balines de plata bola ágata hielo.
Pulsera cordón ajustable blanco,pulseras,12,[P-PL-321],pedido,TRUE,pulseras/pulsera_14.jpg,Pulsera en plata ley 925 cordón ajustable blanco balines bola microcirconia cubica azul rodinado.
Pulsera ala ángel,pulseras,20,[P-PL-250],pedido,TRUE,pulseras/pulsera_15.jpg,Pulsera plata ley 925 dije ala ángel.
Pulsera ala ángel,pulseras,25,[P-PL-288],pedido,TRUE,pulseras/pulsera_16.jpg,Pulsera en plata ley 925 esclava bebé mariquita esmaltado 12cm con extensión.
Pulsera circones rojos,pulseras,38,[P-PL-173],pedido,TRUE,pulseras/pulsera_17.jpg,Pulseras plata quemada ley 925 circones rojos.
Pulsera marquesita ovalo N° 1,pulseras,40,[P-PL-304],pedido,TRUE,pulseras/pulsera_18.jpg,Pulsera plata quemada ley 925 marquesita ovalo circones violeta.
Pulsera marquesita flor,pulseras,40,[P-PL-303],pedido,TRUE,pulseras/pulsera_19.jpg,Pulsera plata quemada ley 925 marquesita flor circones verdes.
Pulsera ovalo N° 1,pulseras,40,[P-PL-301],pedido,TRUE,pulseras/pulsera_20.jpg,Pulsera plata quemada ley 925 marquesita ovalo cristal azul.
Pulsera ovalo N° 2,pulseras,40,[P-PL-299],pedido,TRUE,pulseras/pulsera_21.jpg,Pulsera plata quemada ley 925 marquesita ovalo cristal verdes.
Pulsera marquesita círculo,pulseras,40,[P-PL-298],pedido,TRUE,pulseras/pulsera_22.jpg,Pulsera plata quemada ley 925 marquesita círculo cristales violeta.
