nombre,precio,codigo,estado,esPedido,img,descripcion
Juego perla microcircones + cadena,38.0,[P-JU-171],disponible,FALSE,juegos/P-JU-171.jpg,Juego en Plata ley 925 perla microcircones + cadena 45 cm
Juego ovalado cristal magenta + cadena,37.0,[P-JU-186],disponible,FALSE,juegos/P-JU-186.jpg,Juego en Plata ley 925 ovalado cristal magenta + cadena 45 cm
Juego media bola microcircones + cadena,35.0,[P-JU-188],disponible,FALSE,juegos/P-JU-188.jpg,Juego en Plata ley 925 media bola microcircones + cadena 45 cm
Juego cristal negro gota con anillo incluído (tall,38.75,[P-JU-210],disponible,FALSE,juegos/P-JU-210.jpg,Juego en plata ley 925 cristal negro gota con anillo incluído (talla única 9)
Juego flor circones blancos + cadena,34.0,[P-JU-185],disponible,FALSE,juegos/P-JU-185.jpg,Juego en Plata ley 925 flor circones blancos + cadena 45 cm
Juego ovalado cristal blanco + cadena,38.0,[P-JU-112],disponible,FALSE,juegos/P-JU-112.jpg,Juego en Plata ley 925 ovalado cristal blanco + cadena 45 cm
Juego elefante microcircones + cadena,30.0,[P-JU-177],disponible,FALSE,juegos/P-JU-177.jpg,Juego en Plata ley 925 elefante microcircones + cadena 45 cm
Juego ovalo microcircones + cadena,35.0,[P-JU-173],disponible,FALSE,juegos/P-JU-173.jpg,Juego en Plata ley 925 ovalo microcircones + cadena 45 cm
Juego boca circones blancos,39.25,[P-JU-105],disponible,FALSE,juegos/P-JU-105.jpg,Juego plata 925 boca circones blancos
Juego Corazón microcircones blancos,30.0,[P-JU-178],disponible,FALSE,juegos/P-JU-178.jpg,Juego en Plata ley 925 Corazón microcircones blancos
Juego thai broche catalan corazón cristal,32.75,[P-JU-117],disponible,FALSE,juegos/P-JU-117.jpg,Juego plata 925 thai broche catalan corazón cristal
Juego thai flor circón rojo,23.0,[P-JU-187],disponible,FALSE,juegos/P-JU-187.jpg,Juego en plata ley 925 thai flor circón rojo
Juego corazón cristal verde esmeralda,32.25,[P-JU-194],disponible,FALSE,juegos/P-JU-194.jpg,Juego en plata ley 925 corazón cristal verde esmeralda
Juegos thai diseños surtidos,32.0,[P-JU-166],disponible,FALSE,juegos/P-JU-166.jpg,Juegos plata 925 thai diseños surtidos
Juego aves,34.75,[P-JU-180],disponible,FALSE,juegos/P-JU-180.jpg,Juego en plata ley 925 aves
Juego especial joya corazón quince años,25.0,[P-JU-146],disponible,FALSE,juegos/P-JU-146.jpg,Juego plata 925 especial joya corazón quince años
Juego cristal blanco ovalado,33.75,[P-JU-189],disponible,FALSE,juegos/P-JU-189.jpg,Juego en plata ley 925 cristal blanco ovalado
Juego libélula circones blancos,27.5,[P-JU-204],disponible,FALSE,juegos/P-JU-204.jpg,Juego en plata ley 925 libélula circones blancos
Juego,24.0,[P-JU-199],disponible,FALSE,juegos/P-JU-199.jpg,Juego en plata 925
Juego para niña unicornio,20.0,[P-JU-197],disponible,FALSE,juegos/P-JU-197.jpg,Juego para niña en plata ley 925 unicornio
Juego gota piedra boreal,38.0,[P-JU-179],disponible,FALSE,juegos/P-JU-179.jpg,Juego en plata ley 925 gota piedra boreal
Juego media luna circón,20.0,[P-JU-208],disponible,FALSE,juegos/P-JU-208.jpg,Juego en plata ley 925 media luna circón
Juego en plata y oro medalla virgen microcircon co,28.5,[P-JU-190],disponible,FALSE,juegos/P-JU-190.jpg,Juego en plata y oro medalla virgen microcircon color surtido
Juego corazón llave microcirconia,29.0,[P-JU-198],disponible,FALSE,juegos/P-JU-198.jpg,Juego en plata ley 925 corazón llave microcirconia
Juego thai broche catalan lazo cristal azul,29.75,[P-JU-118],disponible,FALSE,juegos/P-JU-118.jpg,Juego plata 925 thai broche catalan lazo cristal azul
Juego gota microcircones blancos,34.0,[P-JU-181],disponible,FALSE,juegos/P-JU-181.jpg,Juego en plata ley 925 gota microcircones blancos
Juego buho rojo circones verdes,36.5,[P-JU-113],disponible,FALSE,juegos/P-JU-113.jpg,Juego plata 925 buho rojo circones verdes
Juego cristla blanco cuadrado,35.0,[P-JU-196],disponible,FALSE,juegos/P-JU-196.jpg,Juego en plata ley 925 cristla blanco cuadrado
Juego thai osito,28.75,[P-JU-172],disponible,FALSE,juegos/P-JU-172.jpg,Juego en plata ley 925 thai osito
Juego thai mariposa grande,36.0,[P-JU-174],disponible,FALSE,juegos/P-JU-174.jpg,Juego en plata ley 925 thai mariposa grande
Juego gancho catalán cuadrado microcirconia,30.75,[P-JU-211],disponible,FALSE,juegos/P-JU-211.jpg,Juego en plata ley 925 gancho catalán cuadrado microcirconia
Juego ositos circones,30.0,[P-JU-102],disponible,FALSE,juegos/P-JU-102.jpg,Juego plata 925 ositos circones
Juego gota cristales baguette,28.5,[P-JU-209],disponible,FALSE,juegos/P-JU-209.jpg,Juego en plata ley 925 gota cristales baguette
Juego serpiente,34.75,[P-JU-103],disponible,FALSE,juegos/P-JU-103.jpg,Juego plata 925 serpiente
