nombre,precio,codigo,estado,esPedido,img,descripcion
Dije cruz cristo,18.0,[P-DJ-237],disponible,FALSE,dijes/P-DJ-237.jpg,Dije en plata ley 925 cruz cristo 5cm
Dije iniciales letras surtidas 1.,5.5,[P-DJ-208],disponible,FALSE,dijes/P-DJ-208.jpg,Dije en plata ley 925 iniciales letras surtidas 1.2 cm
Dije manito microcircones,12.0,[P-DJ-230],disponible,FALSE,dijes/P-DJ-230.jpg,Dije en plata ley 925 manito microcircones
Dije media luna,3.75,[P-DJ-233],disponible,FALSE,dijes/P-DJ-233.jpg,Dije en plata ley 925 media luna
Dije eclipse,6.0,[P-DJ-220],disponible,FALSE,dijes/P-DJ-220.jpg,Dije en plata ley 925 eclipse
Dije manito hansa circionia lila,14.0,[P-DJ-130],disponible,FALSE,dijes/P-DJ-130.jpg,Dije en plata ley 925 manito hansa circionia lila
Dije tuyo es mi corazón,6.0,[P-DJ-227],disponible,FALSE,dijes/P-DJ-227.jpg,Dije en plata ley 925 tuyo es mi corazón
Dije manito hamsa,13.5,[P-DJ-356],disponible,FALSE,dijes/P-DJ-356.jpg,Dije en plata ley 925 manito hamsa
Dije enjoyado libélula,13.0,[P-DJ-250],disponible,FALSE,dijes/P-DJ-250.jpg,Dije en plata ley 925 enjoyado libélula
Dije corazón soplado,11.5,[P-DJ-361],disponible,FALSE,dijes/P-DJ-361.jpg,Dije en plata ley 925 corazón soplado
Dije herradura caballo,8.0,[P-DJ-139],disponible,FALSE,dijes/P-DJ-139.jpg,Dije plata 925 herradura caballo 2 cm
Dije enjoyado mano hamsa color surtido,14.0,[P-DJ-159],disponible,FALSE,dijes/P-DJ-159.jpg,Dije plata ley 925 enjoyado mano hamsa color surtido
Dije relicario ovalado,25.0,[P-DJ-101],disponible,FALSE,dijes/P-DJ-101.jpg,Dije relicario ovalado plata 925
Dije moto,18.0,[P-DJ-354],disponible,FALSE,dijes/P-DJ-354.jpg,Dije en plata ley 925 moto
Dije corazón delfines,4.5,[P-DJ-146],disponible,FALSE,dijes/P-DJ-146.jpg,Dije plata 925 corazón delfines
Dije corazón ojito,14.0,[P-DJ-347],disponible,FALSE,dijes/P-DJ-347.jpg,Dije en plata ley 925 corazón ojito
Dije enjoyado cruz microcircones negros,22.0,[P-DJ-173],disponible,FALSE,dijes/P-DJ-173.jpg,Dije plata ley 925 enjoyado cruz microcircones negros 4cm
Dije búho,11.0,[P-DJ-362],disponible,FALSE,dijes/P-DJ-362.jpg,Dije en plata ley 925 búho
Dije estrella carita feliz,3.5,[P-DJ-223],disponible,FALSE,dijes/P-DJ-223.jpg,Dije en plata ley 925 estrella carita feliz
Dije corazón grande martillado,14.0,[P-DJ-236],disponible,FALSE,dijes/P-DJ-236.jpg,Dije en plata ley 925 corazón grande martillado
Dije niño,5.5,[P-DJ-225],disponible,FALSE,dijes/P-DJ-225.jpg,Dije en plata ley 925 niño
Dije placa rectángular,16.0,[P-DJ-243],disponible,FALSE,dijes/P-DJ-243.jpg,Dije en plata ley 925 placa rectángular
Dije dije inicial redonda - letras: i - m - r - x,6.0,[P-DJ-207],disponible,FALSE,dijes/P-DJ-207.jpg,Dije en plata ley 925 dije inicial redonda - letras: i - m - r - x
Dije kit medicina,17.0,[P-DJ-345],disponible,FALSE,dijes/P-DJ-345.jpg,Dije en plata ley 925 kit medicina
Dije corazón angelito,4.0,[P-DJ-217],disponible,FALSE,dijes/P-DJ-217.jpg,Dije plata ley 925 corazón angelito
Dije colibrí,13.5,[P-DJ-349],disponible,FALSE,dijes/P-DJ-349.jpg,Dije en plata ley 925 colibrí
Dije búho modelo 2,4.5,[P-DJ-219],disponible,FALSE,dijes/P-DJ-219.jpg,Dije en plata ley 925 búho modelo 2
Dije enjoyado ojito color surtido,13.25,[P-DJ-155],disponible,FALSE,dijes/P-DJ-155.jpg,Dije plata ley 925 enjoyado ojito color surtido
Dije herradura 2.,11.0,[P-DJ-359],disponible,FALSE,dijes/P-DJ-359.jpg,Dije en plata ley 925 herradura 2.5 cm
Dije música,15.0,[P-DJ-344],disponible,FALSE,dijes/P-DJ-344.jpg,Dije en plata ley 925 música
Dije cruz puntas cristo 1.,4.0,[P-DJ-141],disponible,FALSE,dijes/P-DJ-141.jpg,Dije plata 925 cruz puntas cristo 1.8 cm
Dije guitarra,8.5,[P-DJ-228],disponible,FALSE,dijes/P-DJ-228.jpg,Dije en plata ley 925 guitarra
Dije aguila,11.25,[P-DJ-213],disponible,FALSE,dijes/P-DJ-213.jpg,Dije en plata ley 925 aguila
Dije pareja de niñas,7.0,[P-DJ-365],disponible,FALSE,dijes/P-DJ-365.jpg,Dije en plata ley 925 pareja de niñas
