nombre,precio,codigo,estado,esPedido,img,descripcion
Argollas microcircones colores,14.5,[P-AR-540],disponible,FALSE,aretes/P-AR-540.jpg,Argollas en plata ley 925 microcircones colores
Argolla huggie (b.rodio) tipo solitario 1.,15.0,[P-AR-158],disponible,FALSE,aretes/P-AR-158.jpg,Argolla huggie plata 925 (b.rodio) tipo solitario 1.3 cm
Topo ortopedico rosca de seguridad corazón martill,8.0,[P-AR-176],disponible,FALSE,aretes/P-AR-176.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad corazón martillado circón color surtido
Argolla b. rodio huggie ancha redonda 1.,18.0,[P-AR-380],disponible,FALSE,aretes/P-AR-380.jpg,Argolla plata ley 925 b. rodio huggie ancha redonda 1.3 cm
Topo ortopedico laminado en oro de 18 kilates rosc,25.0,[P-AR-159],disponible,FALSE,aretes/P-AR-159.jpg,Topo ortopedico en Plata ley 925 laminado en oro de 18 kilates rosca de seguridad corazón manzana cristal color
Argolla huggie 1 linea microcircones color verde,11.0,[P-AR-522],disponible,FALSE,aretes/P-AR-522.jpg,Argolla en plata ley 925 huggie 1 linea microcircones color verde 17mm
Topo ortopedico rosca de seguridad abejita esmalta,8.0,[P-AR-385],disponible,FALSE,aretes/P-AR-385.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad abejita esmaltada color surtido
Aretes tipo argolla cristales baguette blancos,18.0,[P-AR-391],disponible,FALSE,aretes/P-AR-391.jpg,Aretes en plata ley 925 tipo argolla cristales baguette blancos
Topo ortopedico rosca de seguridad Girasol / Marga,8.0,[P-AR-366],disponible,FALSE,aretes/P-AR-366.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad Girasol / Margarita
Topo ortopedico rosca de seguridad corazón cristal,8.0,[P-AR-360],disponible,FALSE,aretes/P-AR-360.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad corazón cristal #3 color surtido
Topo triángulos troquelados,2.5,[P-AR-559],disponible,FALSE,aretes/P-AR-559.jpg,Topo plata 925 triángulos troquelados
Topo ortopedico rosca de seguridad circón azul cua,8.0,[P-AR-122],disponible,FALSE,aretes/P-AR-122.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad circón azul cuadrado #4
